title,release_date,budget,director,distributor,dom_total_gross,domestic_total_adj_gross,genre,oscar_noms,producers,rating,runtime_mins,theaters,season,theater_run,Year,summer,fall,winter,spring,holiday,,PG-13,R,PG,G,GP,M/PG
Blind Fury,3/16/1990,,Phillip Noyce,TriStar,2692037,5683200,Act_Adven,0,,R,86,353,spring,0,1978,0,0,0,1,0,0,0,1,0,0,0,0
Blind Shaft,2/6/2004,,,Kino,33272,47800,None,0,,,92,4,winter,0,1997,0,0,1,0,0,1,0,0,0,0,0,0
The Blind Side,11/20/2009,29000000,John Lee Hancock,Warner Bros.,255959475,297376300,Sports,2,"Broderick Johnson, Andrew A. Kosove, Molly Smith, Erwin Stoff",PG-13,126,3407,holiday,195,2007,0,0,0,0,1,0,1,0,0,0,0,0
Blind Spot: Hitler's Secretary,1/24/2003,,,Sony Classics,378382,560400,Documentary,0,,PG,90,12,winter,167,2012,0,0,1,0,0,0,0,0,1,0,0,0
Blindness,11/21/2003,,,Pathfinder,1602,2400,None,0,,,88,1,holiday,6,2017,0,0,0,0,1,1,0,0,0,0,0,0
Blindsight,3/5/2008,,,Abramorama,89169,110900,Documentary,0,,PG,104,5,spring,92,2007,0,0,0,1,0,0,0,0,1,0,0,0
The Bling Ring,6/14/2013,,Sofia Coppola,A24,5845732,6229400,Crime_Thriller,0,,R,90,650,summer,90,1995,1,0,0,0,0,0,0,1,0,0,0,0
Blink,1/28/1994,,Michael Apted,New Line,16696219,35669200,Crime_Thriller,0,,R,106,1540,winter,0,1985,0,0,1,0,0,0,0,1,0,0,0,0
Blinky Bill,10/7/2016,,,Shout! Factory,,,Animation,0,,PG,82,,fall,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Bliss,6/6/1997,,,Triumph,294064,572100,None,0,,R,103,12,summer,0,2007,1,0,0,0,0,0,0,1,0,0,0,0
Blizzard,12/12/2003,,,Alliance,504600,740800,None,0,Ralph Winter,G,93,136,holiday,23,2001,0,0,0,0,1,0,0,0,0,1,0,0
The Blob,8/5/1988,,,TriStar,8247943,17920700,Fantasy_Scifi,0,,R,95,1081,summer,0,2017,1,0,0,0,0,0,0,1,0,0,0,0
Blockade,3/14/2007,,,Icarus Films,11750,15200,Documentary,0,,,52,1,spring,11,1998,0,0,0,1,0,1,0,0,0,0,0,0
Blockers,4/6/2018,,,Universal,,,Comedy,0,"Seth Rogen, Evan Goldberg, James Weaver, Jon Hurwitz, Hayden Schlossberg",,,,spring,0,2006,0,0,0,1,0,1,0,0,0,0,0,0
Blonde Ambition,12/21/2007,,,First Look,6422,8100,Romance,0,,PG-13,95,8,holiday,13,1997,0,0,0,0,1,0,1,0,0,0,0,0
Blonde and Blonder,1/18/2008,,,Hannover House,42183,52500,Comedy,0,,PG-13,94,14,winter,23,1980,0,0,1,0,0,0,1,0,0,0,0,0
Blood Alley,10/1/1955,,William A. Wellman,Warner Bros.,,,Act_Adven,0,,,115,,fall,0,1999,0,1,0,0,0,1,0,0,0,0,0,0
Blood and Chocolate,1/26/2007,,,MGM,3526847,4577700,Horror,0,"Ehren Kruger, Gary Lucchesi, Tom Rosenberg, Richard Wright",PG-13,98,1200,winter,62,2013,0,0,1,0,0,0,1,0,0,0,0,0
Blood and Concrete,9/13/1991,,,IRS Media,8780,18600,None,0,,R,99,,fall,13,2008,0,1,0,0,0,0,0,1,0,0,0,0
Blood and Tears,6/15/2007,,,ThinkFilm,4364,5700,Documentary,0,,PG-13,74,1,summer,20,1984,1,0,0,0,0,0,1,0,0,0,0,0
Blood and Wine,2/21/1997,,,Fox Searchlight,1094668,2129700,Crime_Thriller,0,,R,101,166,winter,0,2004,0,0,1,0,0,0,0,1,0,0,0,0
Blood Diamond,12/8/2006,100000000,Edward Zwick,Warner Bros.,57377916,76490700,Act_Adven,5,Graham King,R,138,1920,holiday,125,2016,0,0,0,0,1,0,0,1,0,0,0,0
Blood Done Sign My Name,2/19/2010,10000000,,Paladin,109383,122900,Drama,0,,PG-13,128,95,winter,6,2006,0,0,1,0,0,0,1,0,0,0,0,0
The Blood of Heroes,2/23/1990,,,New Line,882290,1862600,Fantasy_Scifi,0,Charles Roven,R,90,318,winter,20,1979,0,0,1,0,0,0,0,1,0,0,0,0
Blood of His Own,7/31/1998,,,Tozart,6792,12900,None,0,,,,,summer,0,1980,1,0,0,0,0,1,0,0,0,0,0,0
The Blood of My Brother,6/30/2006,,,Lifesize,,,Documentary,0,,,84,,summer,0,1989,1,0,0,0,0,1,0,0,0,0,0,0
