title,release_date,budget,director,distributor,dom_total_gross,domestic_total_adj_gross,genre,oscar_noms,oscar_wins,producers,rating,runtime_mins,theaters,clean_rating,new_genre,days_in_theater,year,summer,fall,holiday,winter,spring,PG-13,R,PG,G,GP,M/PG
200 Cigarettes,2/26/1999,6000000,,Paramount,6852450,12045800,Comedy,0,0,"['Tom Rosenberg', 'Richard Wright']",R,101,978,R,Comedy,,1999,0,0,0,1,0,0,1,0,0,0,0
2001: A Space Odyssey,4/3/1968,12000000,['Stanley Kubrick'],MGM,56954992,386617000,Sci-Fi Adventure,0,0,,G,139,,G,Fantasy_Scifi,,1968,0,0,0,0,1,0,0,0,1,0,0
2001: A Space Odyssey,1/2/2013,,,Warner Bros.,57169610,241400,Sci-Fi Adventure,0,0,,G,,,G,Fantasy_Scifi,,2013,0,0,0,1,0,0,0,0,1,0,0
2001: A Space Odyssey,10/5/2001,,,Warner Bros.,56954992,378100,Unknown,0,0,,G,148,,G,None,,2001,0,1,0,0,0,0,0,0,1,0,0
2010,12/7/1984,,['Peter Hyams'],MGM,40400657,104712100,Sci-Fi Adventure,5,0,,PG,116,1213,PG,Fantasy_Scifi,,1984,0,0,1,0,0,0,0,1,0,0,0
2012,11/13/2009,200000000,['Roland Emmerich'],Sony / Columbia,166112167,194736500,Action Drama,0,0,"['Larry J. Franco', 'Mark Gordon', 'Harald Kloser']",PG-13,158,3444,PG-13,Act_Adven,104,2009,0,0,1,0,0,1,0,0,0,0,0
2016 Obama's America,7/13/2012,,"[""Dinesh D'Souza"", 'John Sullivan']",Rocky Mountain Pictures,33449086,38393400,Documentary,0,0,['Gerald R. Molen'],PG,89,2017,PG,Documentary,90,2012,1,0,0,0,0,0,0,1,0,0,0
2046,8/5/2005,12000000,['Wong Kar Wai'],Sony Classics,1444588,2012500,Foreign,0,0,['Wong Kar Wai'],R,129,61,R,Foreign,125,2005,1,0,0,0,0,0,1,0,0,0,0
20th Century Women,12/28/2016,,['Mike Mills'],A24,5664764,5722300,Comedy / Drama,1,0,,R,118,650,R,Comedy,127,2016,0,0,1,0,0,0,1,0,0,0,0
21,3/28/2008,35000000,['Robert Luketic'],Sony / Columbia,81159365,100940500,Drama,0,0,"['Dana Brunetti', 'Michael De Luca', 'Ryan Kavanaugh']",PG-13,123,2952,PG-13,Drama,51,2008,0,0,0,0,1,1,0,0,0,0,0
21 and Over,3/1/2013,13000000,"['Jon Lucas', 'Scott Moore']",Relativity,25682380,28884600,Comedy,0,0,"['David Hoberman', 'Ryan Kavanaugh', 'Jon Lucas', 'Scott Moore', 'Tucker Tooley']",R,93,2771,R,Comedy,76,2013,0,0,0,0,1,0,1,0,0,0,0
21 Grams,11/21/2003,20000000,['Alejandro Gonzalez Inarritu'],Focus Features,16290476,23578000,Drama,2,0,"['Alejandro González Iñárritu', 'Ted Hope']",R,125,411,R,Drama,146,2003,0,0,1,0,0,0,1,0,0,0,0
21 Jump Street,3/16/2012,42000000,['Phil Lord'],Sony / Columbia,138447667,154430200,Action Comedy,0,0,"['Jonah Hill', 'Neal H. Moritz', 'Channing Tatum']",R,109,3148,R,Act_Adven,107,2012,0,0,0,0,1,0,1,0,0,0,0
22 Jump Street,6/13/2014,50000000,['Phil Lord'],Sony / Columbia,191719337,207739500,Action Comedy,0,0,"['Reid Carolin', 'Jonah Hill', 'Phil Lord', 'Neal H. Moritz', 'Channing Tatum']",R,112,3426,R,Act_Adven,166,2014,1,0,0,0,0,0,1,0,0,0,0
23 Blast,10/24/2014,,,Ocean Avenue Entertainment,549185,590900,Sports Drama,0,0,,PG-13,98,617,PG-13,Sports,27,2014,0,1,0,0,0,1,0,0,0,0,0
24 Hour Party People,8/9/2002,,['Michael Winterbottom'],MGM,1184096,1820000,Music Drama,0,0,,R,115,37,R,Musical,,2002,1,0,0,0,0,0,1,0,0,0,0
The 24-Hour Woman,1/29/1999,,,Artisan,109535,192500,Unknown,0,0,,R,105,30,R,None,48,1999,0,0,0,1,0,0,1,0,0,0,0
The 24th Day,5/14/2004,,,Screen Media,14460,20800,Unknown,0,0,,R,96,1,R,None,,2004,1,0,0,0,0,0,1,0,0,0,0
25th Hour,12/19/2002,5000000,['Spike Lee'],Buena Vista,13084595,19390800,Crime Drama,0,0,"['Jon Kilik', 'Nick Wechsler']",R,134,495,R,Crime_Thriller,136,2002,0,0,1,0,0,0,1,0,0,0,0
27 Dresses,1/18/2008,30000000,['Anne Fletcher'],Fox,76808654,95529400,Romantic Comedy,0,0,"['Roger Birnbaum', 'Gary Barber', 'Jonathan Glickman', 'Jeffrey Silver']",PG-13,107,3074,PG-13,Romance,132,2008,0,0,0,1,0,1,0,0,0,0,0
28 Days,4/14/2000,43000000,['Betty Thomas'],Sony / Columbia,37170488,61583000,Comedy / Drama,0,0,,PG-13,103,2523,PG-13,Comedy,,2000,0,0,0,0,1,1,0,0,0,0,0
28 Days Later,6/27/2003,8000000,['Danny Boyle'],Fox Searchlight,45064915,66737900,Horror,0,0,,R,113,1407,R,Horror,125,2003,1,0,0,0,0,0,1,0,0,0,0
28 Days Later,,,,Unknown,45064915,,Horror,0,0,,R,113,,R,Horror,,,0,0,0,0,0,0,1,0,0,0,0
28 Weeks Later,5/11/2007,,['Juan Carlos Fresnadillo'],Fox Atomic,28638916,37172300,Horror,0,0,"['Danny Boyle', 'Alex Garland']",R,91,2305,R,Horror,97,2007,1,0,0,0,0,0,1,0,0,0,0
29th Street,11/1/1991,,['George Gallo'],Fox,2120564,4498000,Comedy,0,0,,R,101,131,R,Comedy,,1991,0,0,1,0,0,0,1,0,0,0,0
2:22,6/30/2017,,,Magnolia,422,400,Thriller,0,0,,PG-13,99,3,PG-13,Crime_Thriller,6,2017,1,0,0,0,0,1,0,0,0,0,0
"3 1/2 Minutes, 10 Bullets",6/19/2015,,['Marc Silver'],Participant Media,30407,32900,Documentary,0,0,,R,98,8,R,Documentary,80,2015,1,0,0,0,0,0,1,0,0,0,0
3 Backyards,3/11/2011,,,Screen Media,43073,48000,Drama,0,0,,R,88,3,R,Drama,34,2011,0,0,0,0,1,0,1,0,0,0,0
3 Days to Kill,2/21/2014,28000000,['McG'],Relativity,30697999,34405200,Action Thriller,0,0,"['Luc Besson', 'Adi Hasak', 'Ryan Kavanaugh', 'Virginie Silla', 'Tucker Tooley']",PG-13,117,2872,PG-13,Act_Adven,83,2014,0,0,0,1,0,1,0,0,0,0,0
3 Generations,5/5/2017,,['Gaby Dellal'],Weinstein Company,68852,68700,Drama,0,0,"['Dorothy Berwin', 'Peter Saraf', 'Marc Turtletaub']",PG-13,92,37,PG-13,Drama,20,2017,1,0,0,0,0,1,0,0,0,0,0
3 Hearts,3/13/2015,,,Cohen Media Group,164992,175400,Foreign,0,0,,PG-13,106,29,PG-13,Foreign,69,2015,0,0,0,0,1,1,0,0,0,0,0
3 Idiotas,6/2/2017,,,Pantelion,1249233,1246400,Comedy,0,0,,PG-13,106,349,PG-13,Comedy,27,2017,1,0,0,0,0,1,0,0,0,0,0
3 Idiots,12/23/2009,,,Reliance Big Pictures,6532874,7502000,Comedy / Drama,0,0,,PG,160,156,PG,Comedy,78,2009,0,0,1,0,0,0,0,1,0,0,0
3 Nights in the Desert,2/6/2015,,,"Monterey Media, Inc.",1297,1400,Drama,0,0,,R,90,2,R,Drama,58,2015,0,0,0,1,0,0,1,0,0,0,0
3 Ninjas,8/7/1992,,['Jon Turteltaub'],Buena Vista,29000301,62403100,Family Adventure,0,0,,PG,85,1954,PG,Family,,1992,1,0,0,0,0,0,0,1,0,0,0
3 Ninjas Kick Back,5/6/1994,,,TriStar,11798854,25206600,Family Adventure,0,0,,PG,94,2043,PG,Family,,1994,1,0,0,0,0,0,0,1,0,0,0
3 Ninjas Knuckle Up,3/10/1995,,,Sony / Columbia,413479,848800,Unknown,0,0,,PG-13,87,52,PG-13,None,,1995,0,0,0,0,1,1,0,0,0,0,0
3 Ninjas: High Noon at Mega Mountain,4/10/1998,,['Sean McNamara'],Sony / Columbia,375805,715600,Unknown,0,0,,PG,93,120,PG,None,,1998,0,0,0,0,1,0,0,1,0,0,0
3 Strikes,3/1/2000,3400000,,MGM,9832166,16289700,Crime Comedy,0,0,,R,82,678,R,Crime_Thriller,,2000,0,0,0,0,1,0,1,0,0,0,0
3-Iron,4/29/2005,,,Sony Classics,241914,337000,Foreign,0,0,,R,95,31,R,Foreign,111,2005,0,0,0,0,1,0,1,0,0,0,0
30 Beats,7/20/2012,,,Roadside Attractions,14693,16900,Romantic Comedy,0,0,,R,,15,R,Romance,13,2012,1,0,0,0,0,0,1,0,0,0,0
30 Days of Night,10/19/2007,30000000,['David Slade'],Sony / Columbia,39568996,51359200,Horror,0,0,['Sam Raimi'],R,113,2859,R,Horror,37,2007,0,1,0,0,0,0,1,0,0,0,0
30 Minutes or Less,8/12/2011,28000000,['Ruben Fleischer'],Sony / Columbia,37053924,41674000,Action Comedy,0,0,['Ben Stiller'],R,83,2888,R,Act_Adven,48,2011,1,0,0,0,0,0,1,0,0,0,0
30 Years to Life,6/7/2002,,,Innovation Film Group,103540,154100,Unknown,0,0,,R,110,6,R,None,468,2002,1,0,0,0,0,0,1,0,0,0,0
300,3/9/2007,65000000,['Zack Snyder'],Warner Bros.,210614939,273370800,Period Action,0,0,"['Scott Mednick', 'Gianni Nunnari', 'Mark Canton', 'Bernie Goldmann', 'Jeffrey Silver', 'Deborah Snyder', 'Thomas Tull']",R,117,3280,R,Historical,125,2007,0,0,0,0,1,0,1,0,0,0,0
3000 Miles to Graceland,2/23/2001,62000000,,Warner Bros.,15749959,24849300,Action Comedy,0,0,['Don Carmody'],R,125,2545,R,Act_Adven,,2001,0,0,0,1,0,0,1,0,0,0,0
300: Rise of An Empire,3/7/2014,110000000,['Noam Murro'],Warner Bros.,106580051,119082800,Period Action,0,0,"['Gianni Nunnari', 'Mark Canton', 'Zack Snyder', 'Deborah Snyder', 'Bernie Goldmann', 'Thomas Tull', 'Frank Miller', 'Stephen Jones', 'Jon Jashni']",R,102,3490,R,Historical,83,2014,0,0,0,0,1,0,1,0,0,0,0
31,8/26/2016,,['Rob Zombie'],Saban Films,779820,815800,Horror,0,0,,R,102,538,R,Horror,65,2016,1,0,0,0,0,0,1,0,0,0,0
