title,release_date,budget,director,distributor,dom_total_gross,domestic_total_adj_gross,genre,oscar_noms,oscar_wins,producers,rating,runtime_mins,theaters,clean_rating,new_genre,days_in_theater,year,summer,fall,holiday,winter,spring,PG-13,R,PG,G,GP,M/PG,director_prev_nom,director_prev_win,BAFTA,Golden Globe,Guild,rt_critic_score,rt_audience_score,encoded_director,encoded_genre,encoded_producer
The Hollow Point,12/16/2016,0.0,0,Independent,0.0,0.0,Crime Thriller,0,0.0,,R,97.0,,R,Crime_Thriller,,2016.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,3,4
Hollow Reed,4/18/1997,0.0,0,Lions Gate,265732.0,517000.0,Drama,0,0.0,,R,103.0,7.0,R,Drama,139.0,1997.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,6,4
Holly,11/9/2007,0.0,0,Priority Films,166620.0,213100.0,Drama,0,0.0,,R,114.0,11.0,R,Drama,202.0,2007.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,6,4
Hollywood Dreams,5/18/2007,0.0,0,Rainbow Releasing,171255.0,222300.0,Comedy / Drama,0,0.0,,R,101.0,6.0,R,Comedy,212.0,2007.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,4
Hollywood Ending,5/3/2002,0.0,Woody Allen,DreamWorks,4850753.0,7455600.0,Comedy,0,0.0,,PG-13,114.0,772.0,PG-13,Comedy,55.0,2002.0,1,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0.0,0.0,73,1,4
Hollywood Homicide,6/13/2003,75000000.0,0,Sony (Revolution),30940691.0,45821000.0,Action Comedy,0,0.0,['Joe Roth'],PG-13,111.0,2840.0,PG-13,Act_Adven,111.0,2003.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,58
The Hollywood Knights,5/16/1980,0.0,0,Columbia,10000000.0,33197000.0,Comedy,0,0.0,,R,92.0,,R,Comedy,,1980.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,4
Hollywood Shuffle,3/20/1987,0.0,0,Samuel Goldwyn,5228617.0,11941600.0,Unknown,0,0.0,,R,78.0,81.0,R,None,,1987.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,11,4
Hollywood Vice Squad,2/28/1986,0.0,0,Concorde,50379.0,121300.0,Unknown,0,0.0,,R,101.0,70.0,R,None,,1986.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,11,4
Hollywoodland,9/8/2006,0.0,Allen Coulter,Focus Features,14426251.0,19668200.0,Drama,0,0.0,"['J. Miles Dale', 'Glenn Williamson']",R,126.0,1551.0,R,Drama,48.0,2006.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,68.0,48.0,897,6,953
A Hologram for the King,4/22/2016,0.0,Tom Tykwer,Roadside Attractions,4212494.0,4309200.0,Drama,0,0.0,,R,108.0,523.0,R,Drama,76.0,2016.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,874,6,4
Holy Man,10/9/1998,60000000.0,Stephen Herek,Buena Vista,12069719.0,22981400.0,Comedy,0,0.0,"['Roger Birnbaum', 'Jeffrey Chernov', 'Jonathan Glickman']",PG,114.0,2013.0,PG,Comedy,,1998.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,658,1,954
Holy Matrimony,4/8/1994,0.0,0,Buena Vista,713234.0,1523700.0,Comedy,0,0.0,,PG-13,93.0,,PG-13,Comedy,,1994.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,4
Holy Rollers,5/21/2010,0.0,0,First Independent Pictures,303064.0,340400.0,Crime Drama,0,0.0,,R,89.0,20.0,R,Crime_Thriller,97.0,2010.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,3,4
